JavaScript,61,3
Python,54,5
HTML/CSS,52,1
SQL,52,2
Java,49,3
TypeScript,34,6
Shell,34,1
C++,25,4
C#,21,4
C,19,4
PHP,18,1
Go,17,9
Kotlin,15,6
Rust,10,10
Dart,7,3
